700 €/mēn. (9.72 €/m²),72 m²,2,3/5,Stabu 54a,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/aexcx.html,"[""aexcx-flats-riga-centre-65323329.800.jpg"", ""aexcx-flats-riga-centre-65323330.800.jpg"", ""aexcx-flats-riga-centre-65323331.800.jpg"", ""aexcx-flats-riga-centre-65323332.800.jpg"", ""aexcx-flats-riga-centre-65323333.800.jpg"", ""aexcx-flats-riga-centre-65323334.800.jpg"", ""aexcx-flats-riga-centre-65323335.800.jpg"", ""aexcx-flats-riga-centre-65323336.800.jpg"", ""aexcx-flats-riga-centre-65323337.800.jpg"", ""aexcx-flats-riga-centre-65323338.800.jpg""]"
320 €/mēn. (7.62 €/m²),42 m²,2,1/6,Matīsa 91,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/cdcpe.html,"[""cdcpe-flats-riga-centre-55511588.800.jpg"", ""cdcpe-flats-riga-centre-55511589.800.jpg"", ""cdcpe-flats-riga-centre-55511590.800.jpg"", ""cdcpe-flats-riga-centre-55511591.800.jpg"", ""cdcpe-flats-riga-centre-55511592.800.jpg"", ""cdcpe-flats-riga-centre-55511593.800.jpg"", ""cdcpe-flats-riga-centre-59796695.800.jpg"", ""cdcpe-flats-riga-centre-55511595.800.jpg"", ""cdcpe-flats-riga-centre-47051040.800.jpg""]"
700 €/mēn. (12.73 €/m²),55 m²,2,6/7,Brīvības 95,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/ghnhx.html,"[""ghnhx-flats-riga-centre-65412582.800.jpg"", ""ghnhx-flats-riga-centre-65406394.800.jpg"", ""ghnhx-flats-riga-centre-65406451.800.jpg"", ""ghnhx-flats-riga-centre-65406396.800.jpg"", ""ghnhx-flats-riga-centre-65406397.800.jpg"", ""ghnhx-flats-riga-centre-65406398.800.jpg"", ""ghnhx-flats-riga-centre-65406399.800.jpg"", ""ghnhx-flats-riga-centre-65406452.800.jpg"", ""ghnhx-flats-riga-centre-65406453.800.jpg"", ""ghnhx-flats-riga-centre-65406402.800.jpg"", ""ghnhx-flats-riga-centre-65412630.800.jpg"", ""ghnhx-flats-riga-centre-65406475.800.jpg"", ""ghnhx-flats-riga-centre-65406476.800.jpg"", ""ghnhx-flats-riga-centre-65406477.800.jpg"", ""ghnhx-flats-riga-centre-65409208.800.jpg"", ""ghnhx-flats-riga-centre-65409217.800.jpg"", ""ghnhx-flats-riga-centre-65409210.800.jpg"", ""ghnhx-flats-riga-centre-65409211.800.jpg"", ""ghnhx-flats-riga-centre-65409218.800.jpg"", ""ghnhx-flats-riga-centre-65409219.800.jpg"", ""ghnhx-flats-riga-centre-65409212.800.jpg""]"
850 €/mēn. (7.94 €/m²),107 m²,4,3/5/lifts,Raiņa bulv. 3,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/adxpi.html,"[""adxpi-flats-riga-centre-65412308.800.jpg"", ""adxpi-flats-riga-centre-64487808.800.jpg"", ""adxpi-flats-riga-centre-64487809.800.jpg"", ""adxpi-flats-riga-centre-64487810.800.jpg"", ""adxpi-flats-riga-centre-65412309.800.jpg"", ""adxpi-flats-riga-centre-64487828.800.jpg"", ""adxpi-flats-riga-centre-64487813.800.jpg"", ""adxpi-flats-riga-centre-64487807.800.jpg"", ""adxpi-flats-riga-centre-65412310.800.jpg"", ""adxpi-flats-riga-centre-64487816.800.jpg"", ""adxpi-flats-riga-centre-64487817.800.jpg"", ""adxpi-flats-riga-centre-64487818.800.jpg"", ""adxpi-flats-riga-centre-65148212.800.jpg"", ""adxpi-flats-riga-centre-65148211.800.jpg"", ""adxpi-flats-riga-centre-65412311.800.jpg"", ""adxpi-flats-riga-centre-65412312.800.jpg"", ""adxpi-flats-riga-centre-64487824.800.jpg"", ""adxpi-flats-riga-centre-64487825.800.jpg"", ""adxpi-flats-riga-centre-64487826.800.jpg"", ""adxpi-flats-riga-centre-64487827.800.jpg"", ""adxpi-flats-riga-centre-64488060.800.jpg"", ""adxpi-flats-riga-centre-64487829.800.jpg"", ""adxpi-flats-riga-centre-64487830.800.jpg"", ""adxpi-flats-riga-centre-64487831.800.jpg"", ""adxpi-flats-riga-centre-64487832.800.jpg""]"
345 €/mēn. (9.86 €/m²),35 m²,2,4/5,Eksporta 18,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/ecpnm.html,"[""ecpnm-flats-riga-centre-58527304.800.jpg"", ""ecpnm-flats-riga-centre-58527305.800.jpg"", ""ecpnm-flats-riga-centre-58527306.800.jpg"", ""ecpnm-flats-riga-centre-58527307.800.jpg"", ""ecpnm-flats-riga-centre-58527308.800.jpg"", ""ecpnm-flats-riga-centre-58527309.800.jpg"", ""ecpnm-flats-riga-centre-58527310.800.jpg""]"
300 €/mēn. (10 €/m²),30 m²,1,1/5,Sadovņikova 39a,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/agmbf.html,"[""agmbf-flats-riga-centre-55911713.800.jpg"", ""agmbf-flats-riga-centre-55911714.800.jpg"", ""agmbf-flats-riga-centre-55911715.800.jpg"", ""agmbf-flats-riga-centre-55911716.800.jpg"", ""agmbf-flats-riga-centre-55911717.800.jpg"", ""agmbf-flats-riga-centre-55911718.800.jpg"", ""agmbf-flats-riga-centre-55911719.800.jpg"", ""agmbf-flats-riga-centre-55911720.800.jpg"", ""agmbf-flats-riga-centre-55911721.800.jpg"", ""agmbf-flats-riga-centre-55911722.800.jpg"", ""agmbf-flats-riga-centre-55911723.800.jpg"", ""agmbf-flats-riga-centre-55911724.800.jpg"", ""agmbf-flats-riga-centre-55911725.800.jpg"", ""agmbf-flats-riga-centre-55911726.800.jpg"", ""agmbf-flats-riga-centre-55911727.800.jpg"", ""agmbf-flats-riga-centre-55911728.800.jpg"", ""agmbf-flats-riga-centre-55911729.800.jpg"", ""agmbf-flats-riga-centre-55911730.800.jpg"", ""agmbf-flats-riga-centre-55911731.800.jpg"", ""agmbf-flats-riga-centre-55911732.800.jpg"", ""agmbf-flats-riga-centre-55911733.800.jpg"", ""agmbf-flats-riga-centre-55911734.800.jpg"", ""agmbf-flats-riga-centre-55911735.800.jpg"", ""agmbf-flats-riga-centre-55911736.800.jpg""]"
35 €/dienā (1.40 €/m²),25 m²,1,3/6,Brīvības 148,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/agdnp.html,"[""agdnp-flats-riga-centre-46215797.800.jpg"", ""agdnp-flats-riga-centre-46215798.800.jpg"", ""agdnp-flats-riga-centre-40399417.800.jpg"", ""agdnp-flats-riga-centre-40399416.800.jpg"", ""agdnp-flats-riga-centre-40399418.800.jpg"", ""agdnp-flats-riga-centre-58185340.800.jpg""]"
450 €/mēn. (14.06 €/m²),32 m²,2,5/5,Lāčplēša 121a,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/cdipx.html,"[""cdipx-flats-riga-centre-65409783.800.jpg"", ""cdipx-flats-riga-centre-65409784.800.jpg"", ""cdipx-flats-riga-centre-65409785.800.jpg"", ""cdipx-flats-riga-centre-65409800.800.jpg"", ""cdipx-flats-riga-centre-65409788.800.jpg"", ""cdipx-flats-riga-centre-65409789.800.jpg"", ""cdipx-flats-riga-centre-65409801.800.jpg"", ""cdipx-flats-riga-centre-59635165.800.jpg"", ""cdipx-flats-riga-centre-64948691.800.jpg"", ""cdipx-flats-riga-centre-44307081.800.jpg""]"
280 €/mēn. (12.73 €/m²),22 m²,1,4/4,Lāčplēša 121a,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/agecc.html,"[""agecc-flats-riga-centre-65396408.800.jpg"", ""agecc-flats-riga-centre-65396409.800.jpg"", ""agecc-flats-riga-centre-65396410.800.jpg"", ""agecc-flats-riga-centre-65405263.800.jpg"", ""agecc-flats-riga-centre-65405264.800.jpg"", ""agecc-flats-riga-centre-65409655.800.jpg"", ""agecc-flats-riga-centre-65409656.800.jpg"", ""agecc-flats-riga-centre-61242110.800.jpg"", ""agecc-flats-riga-centre-65409657.800.jpg"", ""agecc-flats-riga-centre-64304896.800.jpg""]"
590 €/mēn. (15.53 €/m²),38 m²,1,3/7/lifts,Pulkv. Brieža 35,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/abklf.html,"[""abklf-flats-riga-centre-57771282.800.jpg"", ""abklf-flats-riga-centre-57771281.800.jpg"", ""abklf-flats-riga-centre-63133588.800.jpg"", ""abklf-flats-riga-centre-63133589.800.jpg"", ""abklf-flats-riga-centre-63133590.800.jpg"", ""abklf-flats-riga-centre-63133591.800.jpg"", ""abklf-flats-riga-centre-63133592.800.jpg"", ""abklf-flats-riga-centre-63133593.800.jpg"", ""abklf-flats-riga-centre-63133594.800.jpg"", ""abklf-flats-riga-centre-63133595.800.jpg"", ""abklf-flats-riga-centre-63133596.800.jpg"", ""abklf-flats-riga-centre-57771289.800.jpg"", ""abklf-flats-riga-centre-63133597.800.jpg"", ""abklf-flats-riga-centre-63133598.800.jpg"", ""abklf-flats-riga-centre-63133599.800.jpg"", ""abklf-flats-riga-centre-57771290.800.jpg"", ""abklf-flats-riga-centre-63133600.800.jpg"", ""abklf-flats-riga-centre-63133601.800.jpg"", ""abklf-flats-riga-centre-63133602.800.jpg"", ""abklf-flats-riga-centre-63133603.800.jpg"", ""abklf-flats-riga-centre-63133604.800.jpg"", ""abklf-flats-riga-centre-63133605.800.jpg"", ""abklf-flats-riga-centre-63133606.800.jpg"", ""abklf-flats-riga-centre-63133607.800.jpg"", ""abklf-flats-riga-centre-63133608.800.jpg"", ""abklf-flats-riga-centre-63133609.800.jpg""]"
